CD_MUN,NM_MUN,SIGLA_UF,Populacao_Estimada_2019,CEP
"2200053",Acauã,PI,"7084","64748000"
"2200103",Agricolândia,PI,"5139","64440000"
"2200202",Água Branca,PI,"17411","64460000"
"2200251",Alagoinha do Piauí,PI,"7651","64655000"
"2200277",Alegrete do Piauí,PI,"4915","64675000"
"2200301",Alto Longá,PI,"14304","64360000"
"2200400",Altos,PI,"40524","64290000"
"2200459",Alvorada do Gurguéia,PI,"5419","64923000"
"2200509",Amarante,PI,"17598","64400000"
"2200608",Angical do Piauí,PI,"6788","64410000"
"2200707",Anísio de Abreu,PI,"9880","64780000"
"2200806",Antônio Almeida,PI,"3164","64855000"
"2200905",Aroazes,PI,"5835","64310000"
"2200954",Aroeiras do Itaim,PI,"2551","64612000"
"2201002",Arraial,PI,"4727","64480000"
"2201051",Assunção do Piauí,PI,"7846","64333000"
"2201101",Avelino Lopes,PI,"11289","64965000"
"2201150",Baixa Grande do Ribeiro,PI,"11586","64868000"
"2201176",Barra D'Alcântara,PI,"3951","64528000"
"2201200",Barras,PI,"47066","64100000"
"2201309",Barreiras do Piauí,PI,"3348","64990000"
"2201408",Barro Duro,PI,"7032","64455000"
"2201507",Batalha,PI,"26857","64190000"
"2201556",Bela Vista do Piauí,PI,"4015","64705000"
"2201572",Belém do Piauí,PI,"3566","64678000"
"2201606",Beneditinos,PI,"10467","64380000"
"2201705",Bertolínia,PI,"5501","64870000"
"2201739",Betânia do Piauí,PI,"6205","64753000"
"2201770",Boa Hora,PI,"6781","64108000"
"2201804",Bocaina,PI,"4500","64630000"
"2201903",Bom Jesus,PI,"25179","64900000"
"2201919",Bom Princípio do Piauí,PI,"5630","64225000"
"2201929",Bonfim do Piauí,PI,"5670","64775000"
"2201945",Boqueirão do Piauí,PI,"6407","64283000"
"2201960",Brasileira,PI,"8329","64265000"
"2201988",Brejo do Piauí,PI,"3875","64895000"
"2202000",Buriti dos Lopes,PI,"19781","64230000"
"2202026",Buriti dos Montes,PI,"8244","64345000"
"2202059",Cabeceiras do Piauí,PI,"10586","64105000"
"2202075",Cajazeiras do Piauí,PI,"3559","64514000"
"2202083",Cajueiro da Praia,PI,"7642","64222000"
"2202091",Caldeirão Grande do Piauí,PI,"5776","64695000"
"2202109",Campinas do Piauí,PI,"5613","64730000"
"2202117",Campo Alegre do Fidalgo,PI,"5045","64767000"
"2202133",Campo Grande do Piauí,PI,"5943","64578000"
"2202174",Campo Largo do Piauí,PI,"7279","64148000"
"2202208",Campo Maior,PI,"46833","64280000"
"2202251",Canavieira,PI,"3950","64833000"
"2202307",Canto do Buriti,PI,"21187","64890000"
"2202406",Capitão de Campos,PI,"11417","64270000"
"2202455",Capitão Gervásio Oliveira,PI,"4100","64763000"
"2202505",Caracol,PI,"10916","64795000"
"2202539",Caraúbas do Piauí,PI,"5868","64233000"
"2202554",Caridade do Piauí,PI,"5067","64590000"
"2202604",Castelo do Piauí,PI,"19716","64340000"
"2202653",Caxingó,PI,"5424","64228000"
"2202703",Cocal,PI,"27787","64235000"
"2202711",Cocal de Telha,PI,"4891","64278000"
"2202729",Cocal dos Alves,PI,"6153","64238000"
"2202737",Coivaras,PI,"4020","64335000"
"2202752",Colônia do Gurguéia,PI,"6484","64885000"
"2202778",Colônia do Piauí,PI,"7656","64516000"
"2202802",Conceição do Canindé,PI,"4803","64740000"
"2202851",Coronel José Dias,PI,"4682","64793000"
"2202901",Corrente,PI,"26644","64980000"
"2203008",Cristalândia do Piauí,PI,"8294","64995000"
"2203107",Cristino Castro,PI,"10423","64920000"
"2203206",Curimatá,PI,"11388","64960000"
"2203230",Currais,PI,"4954","64905000"
"2203255",Curralinhos,PI,"4443","64453000"
"2203271",Curral Novo do Piauí,PI,"5343","64595000"
"2203305",Demerval Lobão,PI,"13817","64390000"
"2203354",Dirceu Arcoverde,PI,"7011","64785000"
"2203404",Dom Expedito Lopes,PI,"6904","64620000"
"2203420",Domingos Mourão,PI,"4355","64250000"
"2203453",Dom Inocêncio,PI,"9556","64790000"
"2203503",Elesbão Veloso,PI,"14602","64325000"
"2203602",Eliseu Martins,PI,"4915","64880000"
"2203701",Esperantina,PI,"39737","64180000"
"2203750",Fartura do Piauí,PI,"5307","64788000"
"2203800",Flores do Piauí,PI,"4463","64815000"
"2203859",Floresta do Piauí,PI,"2558","64563000"
"2203909",Floriano,PI,"59935","64800000"
"2204006",Francinópolis,PI,"5348","64520000"
"2204105",Francisco Ayres,PI,"4348","64475000"
"2204154",Francisco Macedo,PI,"3184","64683000"
"2204204",Francisco Santos,PI,"9319","64645000"
"2204303",Fronteiras,PI,"11625","64690000"
"2204352",Geminiano,PI,"5442","64613000"
"2204402",Gilbués,PI,"10690","64930000"
"2204501",Guadalupe,PI,"10499","64840000"
"2204550",Guaribas,PI,"4562","64798000"
"2204600",Hugo Napoleão,PI,"3877","64470000"
"2204659",Ilha Grande,PI,"9426","64224000"
"2204709",Inhuma,PI,"15308","64535000"
"2204808",Ipiranga do Piauí,PI,"9811","64540000"
"2204907",Isaías Coelho,PI,"8549","64570000"
"2205003",Itainópolis,PI,"11530","64565000"
"2205102",Itaueira,PI,"11019","64820000"
"2205151",Jacobina do Piauí,PI,"5741","64755000"
"2205201",Jaicós,PI,"19104","64575000"
"2205250",Jardim do Mulato,PI,"4504","64495000"
"2205276",Jatobá do Piauí,PI,"4865","64275000"
"2205300",Jerumenha,PI,"4452","64830000"
"2205359",João Costa,PI,"3008","64765000"
"2205409",Joaquim Pires,PI,"14354","64170000"
"2205458",Joca Marques,PI,"5443","64165000"
"2205508",José de Freitas,PI,"39208","64110000"
"2205516",Juazeiro do Piauí,PI,"5478","64343000"
"2205524",Júlio Borges,PI,"5627","64963000"
"2205532",Jurema,PI,"4763","64782000"
"2205540",Lagoinha do Piauí,PI,"2845","64465000"
"2205557",Lagoa Alegre,PI,"8542","64138000"
"2205565",Lagoa do Barro do Piauí,PI,"4655","64768000"
"2205573",Lagoa de São Francisco,PI,"6758","64258000"
"2205581",Lagoa do Piauí,PI,"4064","64388000"
"2205599",Lagoa do Sítio,PI,"5177","64308000"
"2205607",Landri Sales,PI,"5295","64850000"
"2205706",Luís Correia,PI,"30311","64220000"
"2205805",Luzilândia,PI,"25486","64160000"
"2205854",Madeiro,PI,"8310","64168000"
"2205904",Manoel Emídio,PI,"5349","64875000"
"2205953",Marcolândia,PI,"8492","64685000"
"2206001",Marcos Parente,PI,"4549","64845000"
"2206050",Massapê do Piauí,PI,"6441","64573000"
"2206100",Matias Olímpio,PI,"10936","64150000"
"2206209",Miguel Alves,PI,"33760","64130000"
"2206308",Miguel Leão,PI,"1246","64445000"
"2206357",Milton Brandão,PI,"6613","64253000"
"2206407",Monsenhor Gil,PI,"10564","64450000"
"2206506",Monsenhor Hipólito,PI,"7749","64650000"
"2206605",Monte Alegre do Piauí,PI,"10613","64940000"
"2206654",Morro Cabeça no Tempo,PI,"4532","64968000"
"2206670",Morro do Chapéu do Piauí,PI,"6796","64178000"
"2206696",Murici dos Portelas,PI,"9159","64175000"
"2206704",Nazaré do Piauí,PI,"7339","64825000"
"2206720",Nazária,PI,"8570","64415000"
"2206753",Nossa Senhora de Nazaré,PI,"4870","64288000"
"2206803",Nossa Senhora dos Remédios,PI,"8692","64140000"
"2206902",Novo Oriente do Piauí,PI,"6565","64530000"
"2206951",Novo Santo Antônio,PI,"2991","64365000"
"2207009",Oeiras,PI,"37029","64500000"
"2207108",Olho D'Água do Piauí,PI,"2459","64468000"
"2207207",Padre Marcos,PI,"6868","64680000"
"2207306",Paes Landim,PI,"4129","64710000"
"2207355",Pajeú do Piauí,PI,"3389","64898000"
"2207405",Palmeira do Piauí,PI,"5043","64925000"
"2207504",Palmeirais,PI,"14539","64420000"
"2207553",Paquetá,PI,"3945","64618000"
"2207603",Parnaguá,PI,"10791","64970000"
"2207702",Parnaíba,PI,"153078","64200000"
"2207751",Passagem Franca do Piauí,PI,"4313","64395000"
"2207777",Patos do Piauí,PI,"6392","64580000"
"2207793",Pau D'Arco do Piauí,PI,"4045","64295000"
"2207801",Paulistana,PI,"20523","64750000"
"2207850",Pavussu,PI,"3677","64838000"
"2207900",Pedro II,PI,"38742","64255000"
"2207934",Pedro Laurentino,PI,"2536","64728000"
"2207959",Nova Santa Rita,PI,"4374","64764000"
"2208007",Picos,PI,"78222","64600000"
"2208106",Pimenteiras,PI,"12127","64320000"
"2208205",Pio IX,PI,"18425","64660000"
"2208304",Piracuruca,PI,"28791","64240000"
"2208403",Piripiri,PI,"63742","64260000"
"2208502",Porto,PI,"12568","64145000"
"2208551",Porto Alegre do Piauí,PI,"2710","64858000"
"2208601",Prata do Piauí,PI,"3151","64370000"
"2208650",Queimada Nova,PI,"8992","64758000"
"2208700",Redenção do Gurguéia,PI,"8778","64915000"
"2208809",Regeneração,PI,"17978","64490000"
"2208858",Riacho Frio,PI,"4312","64975000"
"2208874",Ribeira do Piauí,PI,"4477","64725000"
"2208908",Ribeiro Gonçalves,PI,"7341","64865000"
"2209005",Rio Grande do Piauí,PI,"6432","64835000"
"2209104",Santa Cruz do Piauí,PI,"6240","64545000"
"2209153",Santa Cruz dos Milagres,PI,"4019","64315000"
"2209203",Santa Filomena,PI,"6253","64945000"
"2209302",Santa Luz,PI,"5860","64910000"
"2209351",Santana do Piauí,PI,"4634","64615000"
"2209377",Santa Rosa do Piauí,PI,"5257","64518000"
"2209401",Santo Antônio de Lisboa,PI,"6415","64640000"
"2209450",Santo Antônio dos Milagres,PI,"2161","64438000"
"2209500",Santo Inácio do Piauí,PI,"3798","64560000"
"2209559",São Braz do Piauí,PI,"4448","64783000"
"2209609",São Félix do Piauí,PI,"2942","64375000"
"2209658",São Francisco de Assis do Piauí,PI,"5755","64745000"
"2209708",São Francisco do Piauí,PI,"6423","64550000"
"2209757",São Gonçalo do Gurguéia,PI,"3041","64993000"
"2209807",São Gonçalo do Piauí,PI,"5015","64435000"
"2209856",São João da Canabrava,PI,"4608","64635000"
"2209872",São João da Fronteira,PI,"6042","64243000"
"2209906",São João da Serra,PI,"6139","64350000"
"2209955",São João da Varjota,PI,"4840","64510000"
"2209971",São João do Arraial,PI,"7989","64155000"
"2210003",São João do Piauí,PI,"20601","64760000"
"2210052",São José do Divino,PI,"5346","64245000"
"2210102",São José do Peixe,PI,"3745","64555000"
"2210201",São José do Piauí,PI,"6705","64625000"
"2210300",São Julião,PI,"6363","64670000"
"2210359",São Lourenço do Piauí,PI,"4573","64778000"
"2210375",São Luis do Piauí,PI,"2644","64638000"
"2210383",São Miguel da Baixa Grande,PI,"2452","64378000"
"2210391",São Miguel do Fidalgo,PI,"3039","64558000"
"2210409",São Miguel do Tapuio,PI,"17662","64330000"
"2210508",São Pedro do Piauí,PI,"14291","64430000"
"2210607",São Raimundo Nonato,PI,"34710","64770000"
"2210623",Sebastião Barros,PI,"3469","64985000"
"2210631",Sebastião Leal,PI,"4294","64873000"
"2210656",Sigefredo Pacheco,PI,"10041","64285000"
"2210706",Simões,PI,"14633","64585000"
"2210805",Simplício Mendes,PI,"12711","64700000"
"2210904",Socorro do Piauí,PI,"4569","64720000"
"2210938",Sussuapara,PI,"6730","64610000"
"2210953",Tamboril do Piauí,PI,"2919","64893000"
"2210979",Tanque do Piauí,PI,"2765","64512000"
"2211001",Teresina,PI,"864845","64000000"
"2211100",União,PI,"44485","64120000"
"2211209",Uruçuí,PI,"21558","64860000"
"2211308",Valença do Piauí,PI,"20918","64300000"
"2211357",Várzea Branca,PI,"4947","64773000"
"2211407",Várzea Grande,PI,"4391","64525000"
"2211506",Vera Mendes,PI,"3077","64568000"
"2211605",Vila Nova do Piauí,PI,"2971","64688000"
"2211704",Wall Ferraz,PI,"4462","64548000"
